Vuelo,Fecha,HoraSalida,HoraLlegada,ValorMin,ValorMedio,ValorMax,CiudadOrigen,CiudadDestino
Z328,2024-06-5,08:13:00,10:35:00,244463.0,538669.0,1666594.0,SantaMarta,Bogota
X633,2024-06-6,02:55:00,05:58:00,483669.0,640186.0,4023518.0,SantaMarta,Cartagena
G611,2024-06-12,16:50:00,17:07:00,295876.0,915371.0,2684321.0,Medellin,SantaMarta
N891,2024-06-13,07:15:00,11:48:00,438164.0,692289.0,2927741.0,Cali,Bogota
E350,2024-06-26,15:52:00,17:10:00,279458.0,506496.0,1066916.0,Cartagena,Bogota
J773,2024-06-6,10:21:00,11:03:00,293612.0,972660.0,4265332.0,Bogota,SantaMarta
B552,2024-06-13,13:28:00,15:29:00,390970.0,781301.0,2636179.0,Cali,Bogota
I352,2024-06-19,18:33:00,20:33:00,112548.0,607120.0,3138340.0,Cartagena,Medellin
Y874,2024-06-5,15:17:00,16:50:00,108548.0,889209.0,4215978.0,SantaMarta,Cartagena
A823,2024-06-19,02:55:00,06:03:00,286051.0,887727.0,1794728.0,Medellin,Bogota
J837,2024-06-5,17:01:00,18:02:00,182306.0,601733.0,3060789.0,Cartagena,Bogota
Z343,2024-06-19,13:47:00,17:42:00,248460.0,849734.0,1382792.0,Cali,Medellin
E747,2024-06-19,06:53:00,09:52:00,426098.0,767319.0,4081864.0,Medellin,Bogota
D141,2024-06-27,17:29:00,20:54:00,330781.0,531990.0,2817297.0,Cartagena,Bogota
E387,2024-06-26,03:32:00,07:00:00,473622.0,609433.0,2821653.0,Cartagena,Medellin
P636,2024-06-12,10:52:00,12:50:00,183918.0,644497.0,3018149.0,SantaMarta,Bogota
K776,2024-06-6,19:01:00,21:36:00,340848.0,968318.0,1259865.0,SantaMarta,Cali
W556,2024-06-19,21:50:00,23:03:00,169404.0,896128.0,4830564.0,Cartagena,Medellin
L703,2024-06-19,07:09:00,07:17:00,107432.0,765044.0,1848939.0,SantaMarta,Cali
L890,2024-06-20,11:09:00,13:32:00,391458.0,673038.0,4485596.0,Medellin,Cartagena
G714,2024-06-20,08:01:00,10:34:00,368435.0,552773.0,3427251.0,Bogota,Cartagena
H152,2024-06-12,19:12:00,23:48:00,143776.0,899772.0,3900612.0,Cartagena,SantaMarta
I966,2024-06-26,08:57:00,09:37:00,228361.0,600499.0,2154222.0,Cartagena,Cali
R874,2024-06-19,05:31:00,08:40:00,185702.0,943771.0,4208738.0,Cartagena,SantaMarta
U929,2024-06-19,15:02:00,17:21:00,115796.0,647904.0,2932337.0,Bogota,Medellin
E389,2024-06-6,16:46:00,20:32:00,420182.0,557153.0,4055065.0,Cali,Medellin
L505,2024-06-12,04:52:00,05:23:00,378191.0,677832.0,1759483.0,Medellin,Cali
J786,2024-06-26,15:44:00,16:20:00,464673.0,723388.0,4718254.0,Cali,Bogota
I506,2024-06-26,12:13:00,13:48:00,156761.0,955557.0,4359006.0,Medellin,Cartagena
W151,2024-06-27,01:46:00,03:28:00,158668.0,887450.0,1527895.0,SantaMarta,Bogota
I657,2024-06-5,23:46:00,2:48:00,227358.0,920227.0,3299390.0,Bogota,Medellin
A722,2024-06-6,12:32:00,14:25:00,335925.0,718598.0,3201428.0,Medellin,SantaMarta
G542,2024-06-27,10:15:00,12:58:00,364902.0,620659.0,3822832.0,Cali,Bogota
R419,2024-06-13,18:45:00,21:11:00,263221.0,823412.0,1802097.0,Cali,Bogota
K387,2024-06-12,08:52:00,12:58:00,111358.0,837315.0,1740776.0,Medellin,Cartagena
I684,2024-06-6,18:25:00,22:33:00,268461.0,861073.0,4378830.0,SantaMarta,Cartagena
T366,2024-06-6,15:59:00,16:30:00,441718.0,551893.0,1443926.0,Bogota,Medellin
G973,2024-06-27,07:51:00,09:59:00,107735.0,812320.0,4667378.0,Cartagena,Medellin
P628,2024-06-20,20:47:00,21:45:00,259683.0,878251.0,1406197.0,Cali,Bogota
V577,2024-06-20,19:47:00,23:12:00,321437.0,838480.0,2594022.0,Bogota,Medellin
Y916,2024-06-5,19:05:00,20:07:00,146788.0,717336.0,2479818.0,Bogota,Medellin
C616,2024-06-6,14:43:00,19:14:00,251102.0,768356.0,3231604.0,Bogota,Medellin
Z502,2024-06-27,02:33:00,04:46:00,135039.0,739155.0,3841687.0,SantaMarta,Medellin
O706,2024-06-19,03:33:00,08:12:00,108543.0,552765.0,4776384.0,Cartagena,Medellin
A425,2024-06-12,05:16:00,07:38:00,428767.0,803167.0,3465554.0,Bogota,Cartagena
A643,2024-06-27,02:41:00,06:50:00,133731.0,965070.0,1155231.0,Bogota,SantaMarta
C594,2024-06-6,20:14:00,22:16:00,179770.0,755917.0,3525256.0,Cartagena,Cali
X712,2024-06-5,04:28:00,05:47:00,367356.0,997236.0,2511543.0,SantaMarta,Cartagena
X517,2024-06-26,13:23:00,16:23:00,409500.0,657451.0,2024557.0,Cali,Cartagena
M302,2024-06-20,15:15:00,17:10:00,138614.0,638674.0,4057270.0,Cartagena,Cali
X448,2024-06-12,14:57:00,16:48:00,256801.0,649687.0,2492053.0,Medellin,Bogota
K415,2024-06-6,01:59:00,02:58:00,118208.0,955980.0,3967119.0,Cartagena,Cali
N999,2024-06-20,00:02:00,01:28:00,113404.0,742916.0,3870717.0,Cali,Bogota
Q579,2024-06-19,10:13:00,13:46:00,442756.0,900225.0,4970730.0,Bogota,Cali
O632,2024-06-5,10:46:00,11:04:00,450503.0,759587.0,3350417.0,Cali,Medellin
W768,2024-06-5,00:14:00,02:37:00,309428.0,530313.0,3146101.0,Cartagena,SantaMarta
N700,2024-06-20,17:02:00,21:47:00,428761.0,586568.0,4387318.0,Cali,Medellin
A198,2024-06-13,10:07:00,11:34:00,471496.0,637023.0,3708333.0,SantaMarta,Cali
N508,2024-06-20,07:49:00,11:17:00,380455.0,885626.0,1079810.0,Cali,Bogota
S830,2024-06-26,06:11:00,08:05:00,136210.0,609050.0,1031737.0,Medellin,Bogota
B193,2024-06-12,11:55:00,16:16:00,322687.0,776707.0,3559620.0,SantaMarta,Medellin
N925,2024-06-20,20:09:00,23:27:00,348655.0,584679.0,2803067.0,Bogota,Cali
O805,2024-06-19,08:11:00,12:14:00,180125.0,637210.0,4660148.0,Cartagena,Cali
B165,2024-06-20,00:21:00,03:01:00,285230.0,798592.0,4037787.0,Medellin,Cali
Q419,2024-06-6,18:09:00,20:04:00,336342.0,966902.0,3843081.0,SantaMarta,Bogota
H905,2024-06-6,11:56:00,13:11:00,345069.0,702454.0,1287428.0,Cali,SantaMarta
R873,2024-06-6,00:14:00,04:15:00,209011.0,932430.0,2499023.0,SantaMarta,Cali
T810,2024-06-6,22:03:00,00:13:00,353905.0,622617.0,1739971.0,Medellin,SantaMarta
R507,2024-06-20,03:35:00,05:14:00,338290.0,891960.0,3268081.0,Cartagena,Bogota
E279,2024-06-27,03:32:00,07:31:00,112594.0,535012.0,2407140.0,Cali,Bogota
T179,2024-06-5,21:42:00,23:56:00,194995.0,970417.0,3446179.0,Medellin,Bogota
E348,2024-06-6,14:21:00,17:45:00,200805.0,661664.0,1423079.0,Cartagena,Cali
V809,2024-06-5,15:17:00,18:30:00,412564.0,851500.0,4680941.0,SantaMarta,Medellin
D483,2024-06-12,04:31:00,09:24:00,232173.0,607087.0,4661950.0,Cali,Cartagena
F592,2024-06-20,20:57:00,23:35:00,387337.0,666898.0,4024585.0,Medellin,Cartagena
B209,2024-06-6,07:51:00,10:33:00,422422.0,832491.0,3948879.0,SantaMarta,Cartagena
F812,2024-06-26,04:51:00,08:56:00,100947.0,539536.0,3632244.0,Cali,Cartagena
X552,2024-06-26,04:54:00,07:10:00,271127.0,656834.0,4845023.0,Cartagena,SantaMarta
I848,2024-06-5,07:45:00,12:08:00,180814.0,648460.0,4560674.0,Cartagena,Bogota
J755,2024-06-20,02:52:00,07:15:00,352497.0,973921.0,4954962.0,Cali,Medellin
Y216,2024-06-19,02:44:00,05:12:00,339920.0,690835.0,3549467.0,Cartagena,SantaMarta
G442,2024-06-12,01:09:00,03:41:00,346049.0,850291.0,4890999.0,Medellin,Cali
V932,2024-06-12,16:57:00,18:53:00,368937.0,836969.0,2128948.0,SantaMarta,Medellin
Q252,2024-06-20,08:20:00,13:01:00,477214.0,801662.0,4676437.0,Cartagena,Cali
D848,2024-06-27,11:08:00,14:48:00,239379.0,992500.0,3004583.0,Bogota,SantaMarta
S569,2024-06-5,14:40:00,16:24:00,198988.0,955922.0,4074101.0,Bogota,Medellin
I656,2024-06-13,20:31:00,23:13:00,283863.0,587002.0,3987051.0,Medellin,Cali
S129,2024-06-6,18:08:00,19:08:00,377016.0,650034.0,1915104.0,Medellin,Cartagena
N232,2024-06-5,16:35:00,19:08:00,186616.0,590890.0,2616295.0,Medellin,SantaMarta
M191,2024-06-20,03:11:00,07:02:00,343481.0,664520.0,3274677.0,Cartagena,Medellin
H180,2024-06-20,00:19:00,02:53:00,314037.0,672798.0,3793121.0,SantaMarta,Cali
V900,2024-06-19,10:39:00,13:52:00,361362.0,575041.0,4335294.0,SantaMarta,Cali
Q449,2024-06-27,18:37:00,20:56:00,407816.0,703210.0,4323741.0,SantaMarta,Cali
R250,2024-06-26,16:28:00,18:29:00,478289.0,965855.0,2387745.0,Cali,Bogota
T654,2024-06-26,12:11:00,14:20:00,358074.0,736442.0,4444497.0,SantaMarta,Bogota
Y804,2024-06-12,14:28:00,16:34:00,261803.0,548104.0,1150859.0,Cali,Bogota
E971,2024-06-12,22:07:00,23:12:00,362030.0,972110.0,1721417.0,SantaMarta,Cartagena
U728,2024-06-12,15:55:00,18:43:00,352021.0,909057.0,3924712.0,SantaMarta,Medellin
U522,2024-06-13,12:46:00,14:54:00,169490.0,503891.0,2723741.0,Bogota,Cartagena
V560,2024-06-26,08:41:00,11:20:00,118816.0,675485.0,2104917.0,SantaMarta,Cali